id,decision_date,ticker,stock_name,decision,reason,market_analysis,composite_score,rise_probability,rsi,adx,vix_value,created_at,updated_at
2,2026-03-08,AMAT,어플라이드 머티리얼즈,HOLD,골든크로스가 발생했으나 현재가($324.74)가 SMA20($364.78) 대비 약 11% 하회하고 MACD도 매수신호가 아니어서 골든크로스의 유효성이 의심됩니다. RSI 26으로 과매도이나 하락 추세가 강하게 진행 중(ADX 30.5)이므로 낙하하는 칼날을 잡는 격이 될 수 있습니다.,"VIX 29.5로 시장 공포가 높은 상태이며, 매수 후보 4종목 중 3종목(AMAT, TXN, MU)이 반도체 섹터로 과도하게 집중되어 있어 섹터 리스크 관리가 필요합니다. 높은 VIX 환경에서는 과매도 반등을 노리되 선별적 진입이 필수적입니다.",0.5036,13.09,26.19,30.5,29.49,2026-03-08T01:12:31.133949+00:00,2026-03-08T10:54:11.25741+00:00
3,2026-03-08,TXN,텍사스 인스트루먼트,HOLD,"RSI 2.44는 극단적 과매도로 데이터 이상치 가능성이 있으며, 현재가($193.23)가 SMA20($212.39) 대비 약 9% 하회하고 MACD가 강한 하락 신호(-5.0 vs Signal -2.0)를 보여 추가 하락 모멘텀이 남아있습니다. 반도체 섹터 집중 리스크도 고려하여 보류합니다.","VIX 29.5로 시장 공포가 높은 상태이며, 매수 후보 4종목 중 3종목(AMAT, TXN, MU)이 반도체 섹터로 과도하게 집중되어 있어 섹터 리스크 관리가 필요합니다. 높은 VIX 환경에서는 과매도 반등을 노리되 선별적 진입이 필수적입니다.",0.4536,8.65,2.44,32.87,29.49,2026-03-08T01:12:31.407764+00:00,2026-03-08T10:54:11.536691+00:00
4,2026-03-08,CMCSA,컴캐스트,BUY,"4종목 중 유일하게 MACD 매수신호가 확인되었고, 현재가($31.91)가 SMA20($31.36)과 SMA50($30.55) 위에 위치하여 골든크로스가 유효합니다. RSI 58로 과매수/과매도 아닌 건강한 강세 구간이며, 통신/미디어 섹터로 반도체 편중을 피할 수 있어 포트폴리오 다변화에도 기여합니다.","VIX 29.5로 시장 공포가 높은 상태이며, 매수 후보 4종목 중 3종목(AMAT, TXN, MU)이 반도체 섹터로 과도하게 집중되어 있어 섹터 리스크 관리가 필요합니다. 높은 VIX 환경에서는 과매도 반등을 노리되 선별적 진입이 필수적입니다.",0.41,8.52,58.12,15.98,29.49,2026-03-08T01:12:31.714396+00:00,2026-03-08T10:54:11.745297+00:00
5,2026-03-08,MU,마이크론,HOLD,"현재가($370.30)가 SMA20($409.28) 대비 약 9.5% 하회하여 골든크로스 신호가 무효화된 상태이고, MACD도 강한 하락 신호를 보이고 있습니다. 반도체 섹터 3종목 중 상승확률이 5.23%로 가장 낮아 섹터 집중 리스크 관리 차원에서도 보류가 적절합니다.","VIX 29.5로 시장 공포가 높은 상태이며, 매수 후보 4종목 중 3종목(AMAT, TXN, MU)이 반도체 섹터로 과도하게 집중되어 있어 섹터 리스크 관리가 필요합니다. 높은 VIX 환경에서는 과매도 반등을 노리되 선별적 진입이 필수적입니다.",0.4036,5.23,26.4,26.5,29.49,2026-03-08T01:12:32.023027+00:00,2026-03-08T10:54:12.053657+00:00
30,2026-03-09,NFLX,넷플릭스,HOLD,"RSI 73.82로 과매수 구간에 진입한 종목이 매수 후보에 포함된 것은 시스템 오류 가능성이 높으며, 현재가 $99.02가 SMA20($87.28) 대비 13% 상회하여 단기 과열 후 조정 리스크가 큽니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.4452,10.3,73.82,42.77,29.49,2026-03-09T14:12:38.64548+00:00,2026-03-09T23:55:11.367258+00:00
31,2026-03-09,CMCSA,컴캐스트,BUY,"MACD 매수신호 확인, RSI 62.68로 강세 진입 구간이며 현재가 $31.91이 SMA20($31.36) 위에 위치하여 기술적 신호가 후보 중 가장 정합적이고, 방어적 통신/미디어 섹터로 고VIX 환경에서 상대적 안정성이 있습니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.4385,8.52,62.68,14.86,29.49,2026-03-09T14:12:39.092873+00:00,2026-03-09T23:55:11.876803+00:00
32,2026-03-09,AMGN,암젠,HOLD,"ML 상승확률 3.41%로 후보 중 가장 낮고, MACD 매수신호 없으며 ADX 23.36으로 추세 강도도 보통 수준이라 명확한 매수 근거가 부족합니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.3001,3.41,51.0,23.36,29.49,2026-03-09T14:12:39.59698+00:00,2026-03-09T23:55:12.771104+00:00
39,2026-03-09,AMAT,어플라이드 머티리얼즈,HOLD,"현재가 $324.74가 SMA20($364.78) 대비 11% 하회하여 골든크로스가 사실상 무효화된 상태이며, MACD도 매수신호 없고 거래량이 극히 낮아(0.17배) 반등 동력이 부족합니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.5009,13.09,41.86,29.41,29.49,2026-03-09T14:55:10.912903+00:00,2026-03-09T23:55:10.751766+00:00
40,2026-03-09,PEP,펩시코,BUY,"방어주 성격으로 VIX 29 환경에서 상대적 안전성이 있고, 현재가 $159.43이 SMA50($160.12) 근처에서 지지를 테스트 중이며 ML 예측 상승률 14.64%로 후보 중 가장 높아 리스크 대비 보상이 양호합니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.496,14.64,44.57,27.01,29.49,2026-03-09T14:55:11.226532+00:00,2026-03-09T23:55:11.105152+00:00
42,2026-03-09,TXN,텍사스 인스트루먼트,HOLD,"현재가 $193.23이 SMA20($212.39) 대비 9% 하회하여 골든크로스가 무효화되었고, MACD -5.00으로 강한 하락 모멘텀이 지속 중이며 RSI 30.37은 과매도 근접이나 ADX 32.9의 강한 하락추세에서 낙폭 확대 가능성이 있습니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.4427,8.65,30.37,32.9,29.49,2026-03-09T14:55:11.734405+00:00,2026-03-09T23:55:11.617566+00:00
